Component,Origin,License,Copyright
Alamofire,"https://github.com/Alamofire/Alamofire",MIT,"Copyright (c) 2014-2022 Alamofire Software Foundation (http://alamofire.org/)"
swift-jsonapi,"https://github.com/DataDog/swift-jsonapi",MIT,"Copyright (c) 2024 Datadog, Inc."
